Time (s), X Position (pixels), Y Position (pixels)
8.4,216.725041829,132.720580033
8.43333333333,210.564259827,132.769445219
8.46666666667,204.922092376,132.636616583
8.5,200.083125520,132.338043779
8.53333333333,195.594026549,132.130807522
8.56666666667,191.615892219,132.107231235
8.6,188.100957592,131.973187415
8.63333333333,185.100596529,131.940347072
8.66666666667,182.650215750,131.959007551
8.7,180.821983914,131.836729223
8.73333333333,179.499465526,131.942811331
8.76666666667,178.738387613,131.906567005
8.8,178.654676259,132.035171863
8.83333333333,179.196656051,132.258227176
8.86666666667,180.240543420,132.361747469
8.9,181.749064671,132.477819348
8.93333333333,183.977162816,132.674368619
8.96666666667,186.812819822,132.942633989
9.0,190.116943160,133.134620615
9.03333333333,193.986368593,133.303707743
9.06666666667,198.188322368,133.415844298
9.1,203.017341040,133.514726122
9.13333333333,208.108227499,133.701822198
9.16666666667,214.003561644,133.809863014
9.2,219.889072392,133.764932563
9.23333333333,225.588251748,133.947412587
9.26666666667,231.816563030,133.908988129
9.3,238.418269231,133.939196833
9.33333333333,245.102835864,133.741048410
9.36666666667,252.351033295,133.309414466
9.4,259.508386350,132.887218045
9.43333333333,266.538043478,132.768592677
9.46666666667,273.522962113,132.360792193
9.5,280.527848459,131.886061634
9.53333333333,288.057240011,131.287050156
9.56666666667,295.934473761,130.577268774
9.6,303.061301569,129.758861127
9.63333333333,309.926022628,128.861908906
9.66666666667,316.573627650,127.942782457
9.7,323.089071198,126.794315851
9.73333333333,329.551468407,125.455057846
9.76666666667,335.511025030,124.359356377
9.8,341.461515690,123.367377146
9.83333333333,346.781406296,122.368343630
9.86666666667,351.514623338,121.362481536
9.9,356.204939724,120.369891208
9.93333333333,360.272647575,119.536236119
9.96666666667,363.672342924,118.822372284
10.0,366.594491650,118.065045415
10.0333333333,369.014352665,117.572056239
10.0666666667,370.768575624,117.056975037
10.1,371.974539069,116.691249634
10.1333333333,372.669700528,116.442160893
10.1666666667,372.838823529,116.477647059
10.2,372.422941176,116.517058824
10.2333333333,371.532644018,116.792023634
10.2666666667,370.070263860,117.265342425
10.3,367.946902655,117.950147493
10.3333333333,365.276777811,118.537326645
10.3666666667,362.283564473,119.174092653
10.4,358.507537688,119.976943541
10.4333333333,354.069809069,120.927505967
10.4666666667,349.374517375,121.949509950
10.5,344.449215280,123.060704768
10.5333333333,338.911350704,123.970649895
10.5666666667,333.184834123,125.349229858
10.6,327.277251185,126.414691943
10.6333333333,320.894721321,127.608670009
10.6666666667,314.553122226,128.644865345
10.7,308.106646972,129.526735598
10.7333333333,301.271870398,130.609720177
10.7666666667,294.428151631,131.273875992
10.8,286.909962242,132.039790880
10.8333333333,279.574314574,132.679365079
10.8666666667,272.465789474,133.078947368
10.9,265.711958103,133.510037824
10.9333333333,258.975182482,133.386569343
10.9666666667,252.185822637,133.454784131
11.0,245.310963263,133.805901070
11.0333333333,239.230548378,133.711742751
11.0666666667,233.194588371,133.402705815
11.1,227.540955631,133.232366325
11.1333333333,222.401565996,132.862975391
11.1666666667,217.493656922,132.811086597
11.2,212.464099037,132.711416781
11.2333333333,207.642128481,132.708574580
11.2666666667,203.524136039,132.541689523
11.3,200.004095004,132.487305487
11.3333333333,196.907955471,132.475699158
11.3666666667,194.314860092,132.361858191
11.4,191.996758509,132.270664506
11.4333333333,190.482758621,132.309806034
11.4666666667,189.281417830,132.375671321
11.5,188.669518717,132.469518717
11.5333333333,188.609893048,132.511764706
11.5666666667,189.037463206,132.607171528
11.6,189.954362416,132.648053691
11.6333333333,191.540140086,132.851831897
11.6666666667,193.627297297,133.127297297
11.7,196.084556824,133.340130506
11.7333333333,199.098664486,133.524121014
11.7666666667,202.678630137,133.667397260
11.8,206.626542364,133.888675624
11.8333333333,211.198961465,133.899699371
11.8666666667,215.995618839,134.022179628
11.9,220.801209788,134.133901567
11.9333333333,225.744004462,134.340769660
11.9666666667,231.151361977,134.105588318
12.0,236.840992388,134.145193121
12.0333333333,242.758201357,134.024321267
12.0666666667,248.768943743,133.587830080
12.1,255.330661323,133.199541941
12.1333333333,261.801152738,132.931700288
12.1666666667,268.104721030,132.834334764
12.2,274.473293345,132.397886318
12.2333333333,280.840992388,132.106568931
12.2666666667,287.558441558,131.424336533
12.3,294.602545560,130.671680648
12.3333333333,301.151025123,129.894022524
12.3666666667,307.295983702,129.110011641
12.4,313.174014599,128.367007299
12.4333333333,319.075960419,127.490977881
12.4666666667,324.885621876,126.443104969
12.5,330.333925400,125.514505625
12.5333333333,335.417954816,124.604637337
12.5666666667,340.035171386,123.701341282
12.6,344.780761287,123.086456182
12.6333333333,348.746516454,122.275718945
12.6666666667,352.162873189,121.424475318
12.7,355.415211601,120.792542172
12.7333333333,358.146859334,120.267177824
12.7666666667,360.298009368,119.806498829
12.8,361.661619103,119.454571928
12.8333333333,362.813228438,119.103729604
12.8666666667,363.263986014,118.902680653
12.9,363.292626057,118.891868260
12.9333333333,362.849303136,119.090592334
12.9666666667,361.771470160,119.387772926
13.0,360.232856726,119.780274292
13.0333333333,358.233265127,120.230342005
13.0666666667,355.649557522,120.698230088
13.1,352.553285968,121.347246892
13.1333333333,349.285333333,122.085925926
13.1666666667,345.687721370,122.952774498
13.2,341.256357185,123.588704908
13.2333333333,336.701194030,124.402985075
13.2666666667,331.787887828,125.297136038
13.3,326.623033541,126.468091422
13.3333333333,321.200117890,127.518125553
13.3666666667,315.649029982,128.490299824
13.4,309.891349277,129.398582817
13.4333333333,304.002074074,130.078222222
13.4666666667,297.901450133,130.973660846
13.5,291.631347226,131.762254183
13.5333333333,284.703735882,132.178395598
13.5666666667,278.027389277,132.657634033
13.6,271.914269108,133.068875327
13.6333333333,265.645573295,133.400000000
13.6666666667,259.717836257,133.240935673
13.7,253.582340982,133.246006390
13.7333333333,247.641371228,133.263404629
13.7666666667,241.876553917,133.426712923
13.8,236.325367118,133.391880219
13.8333333333,231.232849416,133.276686593
13.8666666667,226.345526168,133.183736635
13.9,222.134031991,132.971869829
13.9333333333,218.195562859,132.832100794
13.9666666667,214.239283776,132.778621812
14.0,210.458842706,132.778049443
14.0333333333,207.231270358,132.787730727
14.0666666667,204.479392625,132.784436009
14.1,202.359459459,132.884864865
14.1333333333,200.517380760,132.852061439
14.1666666667,199.216383724,132.867690649
14.2,198.283105023,132.954606500
14.2333333333,197.724377843,133.106502542
14.2666666667,197.759303882,133.216599732
14.3,198.413719185,133.333065380
14.3333333333,199.515330823,133.376008607
14.3666666667,200.940366972,133.565569347
14.4,203.042139384,133.710426796
14.4333333333,205.467964315,133.756150311
14.4666666667,208.193049145,133.972576704
14.5,211.658622560,134.148318872
14.5333333333,215.236398259,134.297334059
14.5666666667,219.290199290,134.214851215
14.6,223.276660237,134.233122072
14.6333333333,227.567076579,134.274175517
14.6666666667,232.142857143,134.152699663
14.7,237.140841095,134.076206605
14.7333333333,242.360296212,133.711763030
14.7666666667,247.734881055,133.476640871
14.8,253.325661680,132.948791715
14.8333333333,259.097342577,132.709416522
14.8666666667,264.652564474,132.602723848
14.9,270.448305572,132.663986215
14.9333333333,275.946781116,132.185979971
14.9666666667,281.945868946,131.947578348
15.0,288.003134796,131.419492733
15.0333333333,294.503609587,130.890846087
15.0666666667,300.092361313,130.225675283
15.1,305.687136205,129.479918510
15.1333333333,311.069801402,128.721670561
15.1666666667,316.112987769,128.128130460
15.2,321.099593496,127.408536585
15.2333333333,325.949720670,126.424875037
15.2666666667,330.438799762,125.616755793
15.3,334.569088743,124.805539011
15.3333333333,338.384821429,124.158035714
15.3666666667,341.957891637,123.572732627
15.4,345.159445918,123.026525199
15.4333333333,347.735726898,122.474690995
15.4666666667,349.826780964,121.898315105
15.5,351.460972018,121.494845361
15.5333333333,352.847903131,121.144713526
15.5666666667,353.682474227,120.934609720
15.6,354.191176471,120.818529412
15.6333333333,354.134468585,120.855255432
15.6666666667,353.431898585,120.917452830
15.7,352.462836837,121.197216464
15.7333333333,350.866509155,121.584465446
15.7666666667,349.030561269,122.034381428
15.8,346.687004987,122.607216192
15.8333333333,344.061367621,123.232612507
15.8666666667,340.870332255,123.849162011
15.9,337.287363125,124.499852027
15.9333333333,333.453791469,125.207642180
15.9666666667,329.187684148,125.991750147
16.0,324.692194836,126.902288732
16.0333333333,319.990927714,127.655838455
16.0666666667,315.192408759,128.560583942
16.1,310.261533941,129.339406406
16.1333333333,305.002352941,130.106470588
